TaskID,TaskName,Type,Importance,Duration,DayOfWeek,StartTime,EndTime,UserID,PreferredTime
3017,Listen to music,Personal,Less Important,60,Thursday,21:45,22:45,user1,Evening
2848,Write report,Work,Very Important,45,Monday,9:00,9:45,user1,Morning
1326,Plan a team outing,Work,Important,60,Thursday,17:00,18:00,user1,Afternoon
2374,Project sync-up,Work,Important,30,Thursday,11:15,11:45,user1,Morning
3161,Hang out at a cafe,Personal,Less Important,45,Tuesday,16:30,17:15,user1,Afternoon
1484,Wash dishes,Personal,Normal,20,Monday,19:45,20:05,user1,Evening
2597,Respond to work emails,Work,Very Important,60,Monday,10:45,11:45,user1,Morning
37pQFqzxwX0gyzLldRSH,attend seminar,Education,Very Important,120,Thursday,9:00,11:00,AcggWN6cpMNmEhlgSKPVUc1Ylq32,Morning
1472,Walk the dog,Personal,Normal,30,Saturday,16:00,16:30,user1,Afternoon
3067,Listen to music,Personal,Less Important,45,Saturday,18:45,19:30,user1,Evening
2853,Watch online tutorial,Education,Important,30,Tuesday,17:30,18:00,user1,Afternoon
1752,Wake up,Personal,Very Important,15,Monday,6:00,6:15,user1,Morning
376,Reading,Personal,Normal,64,Saturday,10:00,11:04,user1,Morning
3131,Summarize a chapter,Education,Very Important,45,Monday,16:45,17:30,user1,Afternoon
1188,Send postcards,Personal,Less Important,20,Monday,12:30,12:50,user1,Afternoon
606,Hang out with friends,Personal,Normal,120,Saturday,18:00,20:00,user1,Evening
2422,Watch YouTube,Personal,Less Important,60,Friday,21:30,22:30,user1,Evening
3106,Read research paper,Education,Important,60,Thursday,14:45,15:45,user1,Afternoon
1195,Pay bills,Personal,Important,30,Friday,18:00,18:30,user1,Evening
3PsOAfRxnwCa6xU8Lsth,yoga,Personal,Important,20,Sunday,13:15,13:35,AcggWN6cpMNmEhlgSKPVUc1Ylq32,Afternoon
992,Grocery Shopping,Work,Very Important,41,Monday,14:00,14:41,user1,Afternoon
2491,Chat with neighbors,Personal,Less Important,45,Thursday,18:15,19:00,user1,Evening
2823,Edit a short video,Personal,Normal,60,Saturday,20:30,21:30,user1,Evening
2440,Read comics,Personal,Less Important,45,Thursday,18:45,19:30,user1,Evening
328,Jogging,Personal,Less Important,30,Sunday,7:45,8:15,user1,Morning
2778,Read research paper,Education,Important,45,Sunday,21:00,21:45,user1,Evening
1055,Morning coffee break,Personal,Normal,15,Saturday,10:00,10:15,user1,Morning
2494,Learn Python,Education,Important,45,Friday,10:45,11:30,user1,Morning
2479,Stream live concert,Personal,Less Important,60,Friday,20:45,21:45,user1,Evening
3202,Do the laundry,Personal,Normal,60,Wednesday,11:15,12:15,user1,Morning
3026,Clean the bathroom,Personal,Normal,45,Friday,12:30,13:15,user1,Afternoon
2041,Hang out at a cafe,Personal,Less Important,30,Tuesday,16:00,16:30,user1,Afternoon
260,Check weather,Personal,Less Important,5,Monday,6:00,6:05,user1,Morning
3299,Prepare budget report,Work,Very Important,60,Wednesday,12:00,13:00,user1,Afternoon
303,Exercise,Personal,Less Important,45,Wednesday,6:30,7:15,user1,Morning
3cp7bU9J1Yz0lMUfpwqn,meeting,Work,Important,75,Thursday,12:00,13:15,AcggWN6cpMNmEhlgSKPVUc1Ylq32,Afternoon
573,Make smoothie,Personal,Less Important,10,Thursday,8:00,8:10,user1,Morning
2730,Read a technical article,Education,Important,30,Thursday,11:15,11:45,user1,Morning
162,Do the laundry,Personal,Normal,30,Monday,14:30,15:00,user1,Afternoon
815,Go for a walk,Personal,Normal,30,Monday,14:20,14:50,user1,Afternoon
2245,Record a song,Personal,Normal,45,Saturday,17:15,18:00,user1,Afternoon
3099,Chat with neighbors,Personal,Less Important,45,Sunday,17:30,18:15,user1,Afternoon
3288,Take online quiz,Education,Very Important,45,Friday,19:30,20:15,user1,Evening
1278,Grocery Shopping,Work,Very Important,65,Monday,18:00,19:05,user1,Evening
767,Take a walk after dinner,Personal,Less Important,20,Monday,21:15,21:35,user1,Evening
2000,Watch a stand-up comedy,Personal,Less Important,45,Friday,21:15,22:00,user1,Evening
3t4GEzw7e2EeLz1afuvJ,exercise,Personal,Less Important,45,Friday,7:00,7:45,AcggWN6cpMNmEhlgSKPVUc1Ylq32,Morning
976,Reading,Personal,Normal,64,Saturday,10:00,11:04,user1,Morning
574,Check calendar,Work,Normal,10,Friday,8:15,8:25,user1,Morning
2153,Play guitar,Personal,Normal,45,Wednesday,20:15,21:00,user1,Evening
2268,Stretching session,Personal,Normal,30,Sunday,6:15,6:45,user1,Morning
2283,Write short story,Personal,Normal,45,Tuesday,14:30,15:15,user1,Afternoon
1033,Visit a museum,Personal,Normal,120,Thursday,10:00,12:00,user1,Morning
2013,Yoga session,Personal,Normal,30,Sunday,7:45,8:15,user1,Morning
2763,Code review session,Work,Very Important,45,Thursday,11:45,12:30,user1,Morning
709,Clean out old files,Work,Normal,60,Monday,16:30,17:30,user1,Afternoon
1781,Watch TV series,Personal,Normal,60,Friday,21:00,22:00,user1,Evening
3282,Buy stationery,Personal,Very Important,45,Tuesday,12:45,13:30,user1,Afternoon
2207,Stream live concert,Personal,Less Important,60,Saturday,20:00,21:00,user1,Evening
43n5palgvD3r90QsgJSN,yoga,Personal,Important,25,Tuesday,18:40,19:05,AcggWN6cpMNmEhlgSKPVUc1Ylq32,Evening
2650,Watch YouTube,Personal,Less Important,45,Thursday,20:45,21:30,user1,Evening
2125,Write a poem,Personal,Normal,45,Thursday,14:00,14:45,user1,Afternoon
744,Complete a crossword puzzle,Personal,Normal,30,Monday,21:00,21:30,user1,Evening
1846,Coffee with a friend,Personal,Less Important,45,Tuesday,14:00,14:45,user1,Afternoon
3113,Vacuum the floor,Personal,Normal,60,Tuesday,13:00,14:00,user1,Afternoon
1165,Buy groceries,Personal,Normal,60,Saturday,10:00,11:00,user1,Morning
876,Write to-do list,Work,Normal,10,Sunday,8:45,8:55,user1,Morning
275,Meditate,Personal,Normal,15,Saturday,6:40,6:55,user1,Morning
2917,Grocery shopping,Personal,Very Important,45,Sunday,13:30,14:15,user1,Afternoon
2345,Code review session,Work,Very Important,30,Saturday,12:45,13:15,user1,Afternoon
919,Clean the house,Personal,Normal,60,Friday,9:00,10:00,user1,Morning
3224,Visit pharmacy,Personal,Very Important,60,Saturday,12:45,13:45,user1,Afternoon
2940,Mop the floor,Personal,Normal,45,Tuesday,14:45,15:30,user1,Afternoon
2214,Join an online gaming session,Personal,Less Important,30,Thursday,22:45,23:15,user1,Evening
2834,Grocery shopping,Personal,Very Important,45,Wednesday,17:15,18:00,user1,Afternoon
1622,Sketch a design,Personal,Normal,90,Sunday,14:00,15:30,user1,Afternoon
4CIZzDIvMrMMREVJCD8a,meeting,Work,Normal,95,Wednesday,16:00,17:35,AcggWN6cpMNmEhlgSKPVUc1Ylq32,Afternoon
2447,Hang out at a cafe,Personal,Less Important,60,Sunday,15:00,16:00,user1,Afternoon
2081,Mail documents,Personal,Very Important,60,Saturday,16:00,17:00,user1,Afternoon
895,Pay bills,Personal,Important,30,Friday,18:00,18:30,user1,Evening
2858,Organize closet,Personal,Normal,30,Saturday,16:30,17:00,user1,Afternoon
18,Prepare lecture,Work,Important,90,Thursday,13:30,15:00,user1,Afternoon
2471,Plan weekend gathering,Personal,Less Important,60,Monday,16:45,17:45,user1,Afternoon
480,Clean the bathroom,Personal,Normal,30,Tuesday,18:00,18:30,user1,Evening
3258,Chat with neighbors,Personal,Less Important,30,Tuesday,19:15,19:45,user1,Evening
347,Plan for the new week,Work,Important,45,Friday,8:15,8:00,user1,Morning
283,Write a letter,Personal,Less Important,30,Sunday,18:30,19:00,user1,Evening
3059,Call family,Personal,Less Important,45,Thursday,19:15,20:00,user1,Evening
2114,Play guitar,Personal,Normal,45,Tuesday,18:30,19:15,user1,Evening
1501,Meeting with client,Work,Very Important,60,Monday,9:00,10:00,user1,Morning
936,Write a diary,Personal,Normal,30,Monday,22:45,23:15,user1,Evening
1419,Send a message,Personal,Less Important,10,Monday,23:20,23:30,user1,Evening
2322,Create flashcards for revision,Education,Very Important,45,Wednesday,11:15,12:00,user1,Morning
409,Clean out old files,Work,Normal,60,Monday,16:30,17:30,user1,Afternoon
1483,Write a letter,Personal,Less Important,30,Sunday,18:30,19:00,user1,Evening
2624,Client discussion,Work,Important,30,Monday,15:00,15:30,user1,Afternoon
754,Drive to work,Work,Normal,30,Saturday,9:30,10:00,user1,Morning
589,Meet new people,Social,Normal,60,Tuesday,15:00,16:00,user1,Afternoon
249,Shop online,Personal,Normal,60,Saturday,12:00,13:00,user1,Afternoon
3255,Join online group chat,Personal,Less Important,30,Sunday,20:15,20:45,user1,Evening
1947,Evening walk,Personal,Normal,45,Sunday,18:15,19:00,user1,Evening
1795,Pay bills,Personal,Important,30,Friday,18:00,18:30,user1,Evening
3194,Practice coding,Education,Important,45,Friday,21:00,21:45,user1,Evening
2437,Strategy discussion,Work,Important,60,Thursday,11:15,12:15,user1,Morning
901,Meeting with client,Work,Very Important,60,Monday,9:00,10:00,user1,Morning
1938,Renew ID card,Personal,Very Important,30,Sunday,13:00,13:30,user1,Afternoon
1110,Have lunch,Personal,Normal,60,Thursday,12:00,13:00,user1,Afternoon
1453,Stretch,Personal,Normal,10,Sunday,6:15,6:25,user1,Morning
642,Exercise,Personal,Less Important,45,Sunday,6:45,7:30,user1,Morning
2482,One-on-one with supervisor,Work,Important,45,Thursday,15:00,15:45,user1,Afternoon
2973,Cross-department alignment,Work,Important,45,Saturday,14:45,15:30,user1,Afternoon
95,Meeting,Work,Very Important,82,Thursday,20:00,21:22,user1,Evening
3180,Record a song,Personal,Normal,30,Thursday,20:00,20:30,user1,Evening
467,Take a walk after dinner,Personal,Less Important,20,Monday,21:15,21:35,user1,Evening
3164,Evening walk,Personal,Normal,45,Saturday,18:15,19:00,user1,Evening
176,Take a quick break,Personal,Normal,10,Tuesday,15:00,15:10,user1,Afternoon
706,Create a new recipe,Personal,Normal,90,Friday,18:00,19:30,user1,Evening
2288,Buy stationery,Personal,Very Important,45,Friday,14:00,14:45,user1,Afternoon
1707,Go shopping,Personal,Normal,60,Thursday,16:00,17:00,user1,Afternoon
743,Visit the library,Education,Normal,60,Sunday,14:30,15:30,user1,Afternoon
4raA4VpkA0O3mZWy1nFV,sinus,Personal,Very Important,0,Thursday,22:54,23:00,AcggWN6cpMNmEhlgSKPVUc1Ylq32,Evening
1750,Learn a new skill,Education,Important,60,Sunday,16:30,17:30,user1,Afternoon
1967,Product demo with client,Work,Important,30,Saturday,14:00,14:30,user1,Afternoon
2272,Test new software features,Work,Very Important,60,Saturday,12:30,13:30,user1,Afternoon
1915,Visit pharmacy,Personal,Very Important,30,Saturday,12:00,12:30,user1,Afternoon
2754,Make a scrapbook,Personal,Normal,60,Sunday,18:00,19:00,user1,Evening
2499,Join an online gaming session,Personal,Less Important,30,Thursday,20:30,21:00,user1,Evening
2638,Record a song,Personal,Normal,30,Monday,18:30,19:00,user1,Evening
2854,Write short story,Personal,Normal,30,Sunday,17:15,17:45,user1,Afternoon
2017,Weekly team briefing,Work,Important,30,Sunday,9:30,10:00,user1,Morning
723,Research a topic of interest,Education,Important,90,Monday,15:00,16:30,user1,Afternoon
2138,Join online group chat,Personal,Less Important,30,Tuesday,20:15,20:45,user1,Evening
2049,Chat with neighbors,Personal,Less Important,60,Friday,19:45,20:45,user1,Evening
1267,Yoga,Personal,Very Important,63,Thursday,10:00,11:03,user1,Morning
2930,Buy stationery,Personal,Very Important,30,Monday,11:00,11:30,user1,Morning
610,Cooking,Personal,Normal,60,Wednesday,12:00,13:00,user1,Afternoon
891,Plan a trip,Personal,Important,90,Thursday,14:00,15:30,user1,Afternoon
2191,Read comics,Personal,Less Important,60,Friday,19:30,20:30,user1,Evening
2442,Evening walk,Personal,Normal,60,Thursday,19:00,20:00,user1,Evening
1229,Cooking,Personal,Normal,60,Monday,12:15,13:15,user1,Afternoon
105,Take a long walk,Personal,Less Important,45,Thursday,7:30,8:15,user1,Morning
2527,Write short story,Personal,Normal,30,Sunday,15:45,16:15,user1,Afternoon
757,Take a short walk,Personal,Less Important,10,Monday,12:00,12:10,user1,Afternoon
2061,Watch a movie,Personal,Less Important,60,Wednesday,18:15,19:15,user1,Evening
2821,Read a technical article,Education,Important,30,Sunday,15:45,16:15,user1,Afternoon
3234,Visit pharmacy,Personal,Very Important,45,Monday,18:00,18:45,user1,Evening
2808,Get a haircut,Personal,Very Important,60,Saturday,16:45,17:45,user1,Afternoon
2486,Take notes from an eBook,Education,Important,60,Saturday,14:30,15:30,user1,Afternoon
1380,Clean the bathroom,Personal,Normal,30,Tuesday,18:00,18:30,user1,Evening
77,Meeting,Personal,Important,67,Sunday,12:00,13:07,user1,Afternoon
1539,Listen to podcast,Personal,Normal,30,Thursday,20:45,21:15,user1,Evening
2641,Swimming,Personal,Normal,60,Monday,6:00,7:00,user1,Morning
