TaskID,TaskName,Type,Importance,Duration,DayOfWeek,StartTime,EndTime,UserID
0iGD6kJBv23mtsW6QH05,plan new week,Work,Important,45,Friday,08:15,09:00,AcggWN6cpMNmEhlgSKPVUc1Ylq32
2749,Take online quiz,Education,More Important,45,Monday,20:30,21:15,user1
2509,Practice a new language,Education,Important,30,Saturday,19:15,19:45,user1
2348,Read a technical article,Education,Important,30,Tuesday,20:30,21:00,user1
0mJ0vfijO6N56mpO1J1U,sinus,Personal,Very Important,0,Thursday,22:54,23:00,AcggWN6cpMNmEhlgSKPVUc1Ylq32
2918,Get a haircut,Personal,More Important,60,Sunday,12:00,13:00,user1
305,Read a book,Personal,Normal,60,Friday,20:00,21:00,user1
2326,Grocery shopping,Personal,More Important,30,Saturday,16:30,17:00,user1
507,Go shopping,Personal,Normal,60,Thursday,16:00,17:00,user1
3074,Visit the bank,Personal,More Important,30,Thursday,12:30,13:00,user1
1370,Make a to-do list for the day,Personal,Normal,10,Saturday,7:20,7:30,user1
359,Coding Session,Personal,Normal,68,Wednesday,7:00,8:08,user1
1307,Attend a book club meeting,Personal,Important,90,Saturday,17:00,18:30,user1
3031,Home workout,Personal,Normal,60,Sunday,8:15,9:15,user1
3134,Coffee with a friend,Personal,Less Important,45,Saturday,16:00,16:45,user1
72,Yoga,Work,Important,16,Tuesday,20:00,20:16,user1
514,Listen to music,Personal,Less Important,30,Friday,13:50,14:20,user1
2079,Attend webinar,Education,Important,30,Sunday,10:00,10:30,user1
3014,Create flashcards for revision,Education,More Important,45,Wednesday,16:30,17:15,user1
732,Review monthly budget,Personal,Important,45,Wednesday,19:30,20:15,user1
2938,Attend a birthday party,Personal,Less Important,60,Sunday,17:00,18:00,user1
154qucml9gXV4cGdPkzo,rest,Personal,Less Important,30,Tuesday,13:10,13:40,AcggWN6cpMNmEhlgSKPVUc1Ylq32
1138,Visit family,Personal,Normal,120,Sunday,14:00,16:00,user1
3280,Read research paper,Education,Important,30,Saturday,19:30,20:00,user1
3115,Home workout,Personal,Normal,30,Monday,7:00,7:30,user1
1434,Do crafts,Personal,Less Important,60,Sunday,16:30,17:30,user1
2468,Attend a birthday party,Personal,Less Important,45,Tuesday,21:15,22:00,user1
2661,Home workout,Personal,Normal,60,Thursday,7:45,8:45,user1
979,Meeting,Work,Normal,102,Tuesday,11:00,12:42,user1
293,Read a magazine,Personal,Less Important,20,Saturday,15:00,15:20,user1
1536,Write a diary,Personal,Normal,30,Monday,22:45,23:15,user1
3265,Respond to work emails,Work,More Important,60,Thursday,15:45,16:45,user1
2966,Chat with neighbors,Personal,Less Important,45,Wednesday,19:00,19:45,user1
576,Write to-do list,Work,Normal,10,Sunday,8:45,8:55,user1
3027,Design a presentation,Work,More Important,30,Friday,14:45,15:15,user1
1161,Organize desk,Work,Normal,15,Tuesday,8:30,8:45,user1
397,Grocery Shopping,Personal,Important,101,Saturday,9:00,10:41,user1
1403,Read the news,Personal,Normal,20,Wednesday,8:15,8:35,user1
327,Plan for the new week,Work,Important,45,Saturday,8:00,8:15,user1
1775,Meditate,Personal,Normal,15,Saturday,6:40,6:55,user1
3080,Join online group chat,Personal,Less Important,60,Thursday,21:30,22:30,user1
2520,Prepare budget report,Work,More Important,45,Tuesday,15:15,16:00,user1
658,Yoga,Work,Very Important,46,Tuesday,19:00,19:46,user1
776,Take a quick break,Personal,Normal,10,Tuesday,15:00,15:10,user1
2934,Write short story,Personal,Normal,45,Monday,16:30,17:15,user1
2643,Watch a movie,Personal,Less Important,45,Saturday,18:15,19:00,user1
488,Call a colleague for a quick check-in,Work,Normal,10,Wednesday,14:00,14:10,user1
880,Go for a bike ride,Personal,Less Important,30,Thursday,17:00,17:30,user1
555,Water plants,Personal,Normal,15,Saturday,6:35,6:50,user1
2765,Watch a stand-up comedy,Personal,Less Important,45,Sunday,20:45,21:30,user1
608,Plan for the new week,Work,Important,45,Monday,8:00,8:45,user1
3036,Write a poem,Personal,Normal,45,Monday,13:30,14:15,user1
2108,Paint a picture,Personal,Normal,45,Sunday,16:45,17:30,user1
2811,Summarize a chapter,Education,More Important,45,Sunday,10:00,10:45,user1
1916,Buy stationery,Personal,More Important,30,Wednesday,14:00,14:30,user1
198,Make phone calls for work,Work,Normal,30,Thursday,9:00,9:30,user1
1884,Hang out at a cafe,Personal,Less Important,45,Saturday,15:30,16:15,user1
1749,Shop online,Personal,Normal,60,Saturday,12:00,13:00,user1
233,Post on a blog,Personal,Less Important,30,Sunday,14:30,15:00,user1
1514,Learn English,Education,Important,60,Sunday,15:00,16:00,user1
395,Meeting,Work,Very Important,82,Thursday,20:00,21:22,user1
1kCQHu5pvezwO3v1SQwy,sinus,Personal,Very Important,0,Thursday,22:54,23:00,AcggWN6cpMNmEhlgSKPVUc1Ylq32
310,Cooking,Personal,Normal,60,Wednesday,12:00,13:00,user1
3179,Join online group chat,Personal,Less Important,30,Sunday,21:00,21:30,user1
1lmcB5bmE7tCXu6himyS,rest,Personal,Less Important,30,Tuesday,13:00,13:30,AcggWN6cpMNmEhlgSKPVUc1Ylq32
605,Read a book,Personal,Normal,60,Friday,20:00,21:00,user1
1384,Have a cup of tea,Personal,Normal,15,Wednesday,7:00,7:15,user1
1079,Clean the kitchen,Personal,Normal,30,Tuesday,17:00,17:30,user1
1163,Walk to the bus stop,Personal,Normal,10,Thursday,7:30,7:40,user1
2911,Evening gym workout,Personal,Normal,45,Thursday,18:15,19:00,user1
2683,Stream live concert,Personal,Less Important,45,Monday,20:15,21:00,user1
412,Water the garden,Personal,Less Important,30,Thursday,8:00,8:30,user1
1346,Plan a creative project,Personal,Normal,60,Wednesday,18:00,19:00,user1
1w9rSmfOC8q8kCserZJa,restt,Personal,Less Important,30,Tuesday,13:10,13:40,AcggWN6cpMNmEhlgSKPVUc1Ylq32
404,Virtual networking event,Work,Normal,90,Wednesday,19:00,20:30,user1
1678,Check bank statements,Personal,Normal,15,Tuesday,16:30,16:45,user1
1ymUsgL45awPfxmF1XPu,sinus,Personal,Very Important,0,Thursday,22:54,23:00,AcggWN6cpMNmEhlgSKPVUc1Ylq32
3154,Visit pharmacy,Personal,More Important,45,Wednesday,15:00,15:45,user1
1396,Take a morning walk,Personal,Normal,20,Thursday,7:00,7:20,user1
2986,Write report,Work,More Important,45,Saturday,10:30,11:15,user1
1111,Rest,Personal,Less Important,30,Tuesday,13:00,13:30,user1
761,Check work emails,Work,Normal,20,Monday,14:00,14:20,user1
2671,Product demo with client,Work,Important,45,Wednesday,12:30,13:15,user1
2539,Drop off donation,Personal,More Important,30,Saturday,16:45,17:15,user1
1636,Update LinkedIn profile,Work,Important,45,Sunday,12:00,12:45,user1
3069,Coffee with a friend,Personal,Less Important,45,Monday,15:30,16:15,user1
2948,Weekly team briefing,Work,Important,60,Monday,10:30,11:30,user1
1496,Go to a fitness class,Personal,Normal,60,Saturday,19:00,20:00,user1
1242,Exercise,Personal,Less Important,45,Sunday,6:45,7:30,user1
2BHBxmsFsFPlCmKQc6li,meeting,Work,Normal,95,Wednesday,16:00,17:35,AcggWN6cpMNmEhlgSKPVUc1Ylq32
1648,Relax with an audiobook,Personal,Normal,60,Friday,21:00,22:00,user1
2826,Read comics,Personal,Less Important,60,Monday,20:45,21:45,user1
1621,Call a relative,Personal,Normal,30,Saturday,10:30,11:00,user1
2974,Hang out at a cafe,Personal,Less Important,30,Friday,15:15,15:45,user1
3038,Grocery shopping,Personal,More Important,30,Monday,17:15,17:45,user1
2770,Renew ID card,Personal,More Important,45,Sunday,14:15,15:00,user1
114,Weekend getaway planning,Personal,Normal,90,Saturday,15:00,16:30,user1
587,Take a power nap,Personal,Less Important,20,Thursday,14:00,14:20,user1
2681,Take notes from an eBook,Education,Important,30,Sunday,20:45,21:15,user1
1381,Call family members,Personal,Normal,15,Tuesday,19:00,19:15,user1
825,Play sports,Personal,Normal,60,Thursday,17:30,18:30,user1
2515,Stretching session,Personal,Normal,60,Thursday,6:15,7:15,user1
3277,Watch a movie,Personal,Less Important,30,Tuesday,21:00,21:30,user1
688,Reading,Personal,Normal,81,Thursday,13:00,14:21,user1
522,Clean the room,Personal,Normal,30,Monday,11:30,12:00,user1
2101,Swimming,Personal,Normal,30,Wednesday,8:15,8:45,user1
3062,Jogging,Personal,Normal,60,Wednesday,7:45,8:45,user1
548,Handle paperwork,Work,Normal,30,Friday,13:15,13:45,user1
1355,Morning coffee break,Personal,Normal,15,Saturday,10:00,10:15,user1
3241,Write a summary of today's learnings,Education,More Important,60,Saturday,17:00,18:00,user1
3095,Grocery shopping,Personal,More Important,60,Wednesday,15:15,16:15,user1
1923,Clean the bathroom,Personal,Normal,45,Thursday,13:45,14:30,user1
1101,Browse social media,Personal,Less Important,15,Tuesday,7:45,8:00,user1
538,Visit family,Personal,Normal,120,Sunday,14:00,16:00,user1
2449,Solve math problems,Education,More Important,60,Sunday,20:30,21:30,user1
1761,Organize desk,Work,Normal,15,Tuesday,8:30,8:45,user1
724,Organize workspace,Work,Important,60,Tuesday,13:00,14:00,user1
2343,Paint a picture,Personal,Normal,45,Tuesday,13:30,14:15,user1
1690,Take a nap,Personal,Less Important,30,Wednesday,16:30,17:00,user1
3192,Call family,Personal,Less Important,60,Wednesday,19:45,20:45,user1
1821,Jogging,Personal,Normal,45,Thursday,7:15,8:00,user1
3169,Paint a picture,Personal,Normal,30,Wednesday,18:15,18:45,user1
1566,Writing,Personal,Very Important,21,Wednesday,2:00,2:21,user1
845,Do homework,Education,Important,60,Wednesday,18:00,19:00,user1
801,Browse social media,Personal,Less Important,15,Tuesday,7:45,8:00,user1
2196,Take notes from an eBook,Education,Important,60,Saturday,18:45,19:45,user1
1898,Drop off donation,Personal,More Important,45,Friday,15:15,16:00,user1
1243,Write report,Work,Important,90,Monday,10:45,12:15,user1
1093,Reply to personal messages,Personal,Normal,15,Wednesday,19:30,19:45,user1
1042,Walk a pet,Personal,Normal,30,Saturday,8:00,8:30,user1
1329,Practice a musical instrument,Personal,Normal,60,Sunday,17:30,18:30,user1
2qMzDHvSNGGWXxCTR9Gz,sinus,Personal,Very Important,0,Thursday,22:54,23:00,AcggWN6cpMNmEhlgSKPVUc1Ylq32
1526,Teamwork,Work,Very Important,120,Friday,14:15,16:15,user1
585,Set alarms,Personal,Normal,5,Tuesday,22:30,22:35,user1
2044,Dust shelves,Personal,Normal,60,Saturday,12:30,13:30,user1
1353,Go to work,Work,Very Important,60,Monday,8:30,9:30,user1
3017,Listen to music,Personal,Less Important,60,Thursday,21:45,22:45,user1
2848,Write report,Work,More Important,45,Monday,9:00,9:45,user1
1326,Plan a team outing,Work,Important,60,Thursday,17:00,18:00,user1
2374,Project sync-up,Work,Important,30,Thursday,11:15,11:45,user1
3161,Hang out at a cafe,Personal,Less Important,45,Tuesday,16:30,17:15,user1
1484,Wash dishes,Personal,Normal,20,Monday,19:45,20:05,user1
2597,Respond to work emails,Work,More Important,60,Monday,10:45,11:45,user1
37pQFqzxwX0gyzLldRSH,attend seminar,Education,Very Important,120,Thursday,09:00,11:00,AcggWN6cpMNmEhlgSKPVUc1Ylq32
1472,Walk the dog,Personal,Normal,30,Saturday,16:00,16:30,user1
3067,Listen to music,Personal,Less Important,45,Saturday,18:45,19:30,user1
2853,Watch online tutorial,Education,Important,30,Tuesday,17:30,18:00,user1
1752,Wake up,Personal,Very Important,15,Monday,6:00,6:15,user1
376,Reading,Personal,Normal,64,Saturday,10:00,11:04,user1
3131,Summarize a chapter,Education,More Important,45,Monday,16:45,17:30,user1
1188,Send postcards,Personal,Less Important,20,Monday,12:30,12:50,user1
606,Hang out with friends,Personal,Normal,120,Saturday,18:00,20:00,user1
2422,Watch YouTube,Personal,Less Important,60,Friday,21:30,22:30,user1
3106,Read research paper,Education,Important,60,Thursday,14:45,15:45,user1
1195,Pay bills,Personal,Important,30,Friday,18:00,18:30,user1
3PsOAfRxnwCa6xU8Lsth,yoga,Personal,Important,20,Sunday,13:15,13:35,AcggWN6cpMNmEhlgSKPVUc1Ylq32
992,Grocery Shopping,Work,Very Important,41,Monday,14:00,14:41,user1
2491,Chat with neighbors,Personal,Less Important,45,Thursday,18:15,19:00,user1
2823,Edit a short video,Personal,Normal,60,Saturday,20:30,21:30,user1
2440,Read comics,Personal,Less Important,45,Thursday,18:45,19:30,user1
328,Jogging,Personal,Less Important,30,Sunday,7:45,8:15,user1
2778,Read research paper,Education,Important,45,Sunday,21:00,21:45,user1
1055,Morning coffee break,Personal,Normal,15,Saturday,10:00,10:15,user1
2494,Learn Python,Education,Important,45,Friday,10:45,11:30,user1
2479,Stream live concert,Personal,Less Important,60,Friday,20:45,21:45,user1
3202,Do the laundry,Personal,Normal,60,Wednesday,11:15,12:15,user1
3026,Clean the bathroom,Personal,Normal,45,Friday,12:30,13:15,user1
2041,Hang out at a cafe,Personal,Less Important,30,Tuesday,16:00,16:30,user1
260,Check weather,Personal,Less Important,5,Monday,6:00,6:05,user1
3299,Prepare budget report,Work,More Important,60,Wednesday,12:00,13:00,user1
303,Exercise,Personal,Less Important,45,Wednesday,6:30,7:15,user1
3cp7bU9J1Yz0lMUfpwqn,meeting,Work,Important,75,Thursday,12:00,13:15,AcggWN6cpMNmEhlgSKPVUc1Ylq32
573,Make smoothie,Personal,Less Important,10,Thursday,8:00,8:10,user1
2730,Read a technical article,Education,Important,30,Thursday,11:15,11:45,user1
162,Do the laundry,Personal,Normal,30,Monday,14:30,15:00,user1
815,Go for a walk,Personal,Normal,30,Monday,14:20,14:50,user1
2245,Record a song,Personal,Normal,45,Saturday,17:15,18:00,user1
3099,Chat with neighbors,Personal,Less Important,45,Sunday,17:30,18:15,user1
3288,Take online quiz,Education,More Important,45,Friday,19:30,20:15,user1
1278,Grocery Shopping,Work,Very Important,65,Monday,18:00,19:05,user1
767,Take a walk after dinner,Personal,Less Important,20,Monday,21:15,21:35,user1
2000,Watch a stand-up comedy,Personal,Less Important,45,Friday,21:15,22:00,user1
3t4GEzw7e2EeLz1afuvJ,exercise,Personal,Less Important,45,Friday,07:00,07:45,AcggWN6cpMNmEhlgSKPVUc1Ylq32
976,Reading,Personal,Normal,64,Saturday,10:00,11:04,user1
574,Check calendar,Work,Normal,10,Friday,8:15,8:25,user1
2153,Play guitar,Personal,Normal,45,Wednesday,20:15,21:00,user1
2268,Stretching session,Personal,Normal,30,Sunday,6:15,6:45,user1
2283,Write short story,Personal,Normal,45,Tuesday,14:30,15:15,user1
1033,Visit a museum,Personal,Normal,120,Thursday,10:00,12:00,user1
2013,Yoga session,Personal,Normal,30,Sunday,7:45,8:15,user1
2763,Code review session,Work,More Important,45,Thursday,11:45,12:30,user1
709,Clean out old files,Work,Normal,60,Monday,16:30,17:30,user1
1781,Watch TV series,Personal,Normal,60,Friday,21:00,22:00,user1
3282,Buy stationery,Personal,More Important,45,Tuesday,12:45,13:30,user1
2207,Stream live concert,Personal,Less Important,60,Saturday,20:00,21:00,user1
43n5palgvD3r90QsgJSN,yoga,Personal,Important,25,Tuesday,18:40,19:05,AcggWN6cpMNmEhlgSKPVUc1Ylq32
2650,Watch YouTube,Personal,Less Important,45,Thursday,20:45,21:30,user1
2125,Write a poem,Personal,Normal,45,Thursday,14:00,14:45,user1
744,Complete a crossword puzzle,Personal,Normal,30,Monday,21:00,21:30,user1
1846,Coffee with a friend,Personal,Less Important,45,Tuesday,14:00,14:45,user1
3113,Vacuum the floor,Personal,Normal,60,Tuesday,13:00,14:00,user1
1165,Buy groceries,Personal,Normal,60,Saturday,10:00,11:00,user1
876,Write to-do list,Work,Normal,10,Sunday,8:45,8:55,user1
275,Meditate,Personal,Normal,15,Saturday,6:40,6:55,user1
2917,Grocery shopping,Personal,More Important,45,Sunday,13:30,14:15,user1
2345,Code review session,Work,More Important,30,Saturday,12:45,13:15,user1
919,Clean the house,Personal,Normal,60,Friday,9:00,10:00,user1
3224,Visit pharmacy,Personal,More Important,60,Saturday,12:45,13:45,user1
2940,Mop the floor,Personal,Normal,45,Tuesday,14:45,15:30,user1
2214,Join an online gaming session,Personal,Less Important,30,Thursday,22:45,23:15,user1
2834,Grocery shopping,Personal,More Important,45,Wednesday,17:15,18:00,user1
1622,Sketch a design,Personal,Normal,90,Sunday,14:00,15:30,user1
4CIZzDIvMrMMREVJCD8a,meeting,Work,Normal,95,Wednesday,16:00,17:35,AcggWN6cpMNmEhlgSKPVUc1Ylq32
2447,Hang out at a cafe,Personal,Less Important,60,Sunday,15:00,16:00,user1
2081,Mail documents,Personal,More Important,60,Saturday,16:00,17:00,user1
895,Pay bills,Personal,Important,30,Friday,18:00,18:30,user1
2858,Organize closet,Personal,Normal,30,Saturday,16:30,17:00,user1
18,Prepare lecture,Work,Important,90,Thursday,13:30,15:00,user1
2471,Plan weekend gathering,Personal,Less Important,60,Monday,16:45,17:45,user1
480,Clean the bathroom,Personal,Normal,30,Tuesday,18:00,18:30,user1
3258,Chat with neighbors,Personal,Less Important,30,Tuesday,19:15,19:45,user1
347,Plan for the new week,Work,Important,45,Friday,8:15,8:00,user1
283,Write a letter,Personal,Less Important,30,Sunday,18:30,19:00,user1
3059,Call family,Personal,Less Important,45,Thursday,19:15,20:00,user1
2114,Play guitar,Personal,Normal,45,Tuesday,18:30,19:15,user1
1501,Meeting with client,Work,Very Important,60,Monday,9:00,10:00,user1
936,Write a diary,Personal,Normal,30,Monday,22:45,23:15,user1
1419,Send a message,Personal,Less Important,10,Monday,23:20,23:30,user1
2322,Create flashcards for revision,Education,More Important,45,Wednesday,11:15,12:00,user1
409,Clean out old files,Work,Normal,60,Monday,16:30,17:30,user1
1483,Write a letter,Personal,Less Important,30,Sunday,18:30,19:00,user1
2624,Client discussion,Work,Important,30,Monday,15:00,15:30,user1
754,Drive to work,Work,Normal,30,Saturday,9:30,10:00,user1
589,Meet new people,Social,Normal,60,Tuesday,15:00,16:00,user1
249,Shop online,Personal,Normal,60,Saturday,12:00,13:00,user1
3255,Join online group chat,Personal,Less Important,30,Sunday,20:15,20:45,user1
1947,Evening walk,Personal,Normal,45,Sunday,18:15,19:00,user1
1795,Pay bills,Personal,Important,30,Friday,18:00,18:30,user1
3194,Practice coding,Education,Important,45,Friday,21:00,21:45,user1
2437,Strategy discussion,Work,Important,60,Thursday,11:15,12:15,user1
901,Meeting with client,Work,Very Important,60,Monday,9:00,10:00,user1
1938,Renew ID card,Personal,More Important,30,Sunday,13:00,13:30,user1
1110,Have lunch,Personal,Normal,60,Thursday,12:00,13:00,user1
1453,Stretch,Personal,Normal,10,Sunday,6:15,6:25,user1
642,Exercise,Personal,Less Important,45,Sunday,6:45,7:30,user1
2482,One-on-one with supervisor,Work,Important,45,Thursday,15:00,15:45,user1
2973,Cross-department alignment,Work,Important,45,Saturday,14:45,15:30,user1
95,Meeting,Work,Very Important,82,Thursday,20:00,21:22,user1
3180,Record a song,Personal,Normal,30,Thursday,20:00,20:30,user1
467,Take a walk after dinner,Personal,Less Important,20,Monday,21:15,21:35,user1
3164,Evening walk,Personal,Normal,45,Saturday,18:15,19:00,user1
176,Take a quick break,Personal,Normal,10,Tuesday,15:00,15:10,user1
706,Create a new recipe,Personal,Normal,90,Friday,18:00,19:30,user1
2288,Buy stationery,Personal,More Important,45,Friday,14:00,14:45,user1
1707,Go shopping,Personal,Normal,60,Thursday,16:00,17:00,user1
743,Visit the library,Education,Normal,60,Sunday,14:30,15:30,user1
4raA4VpkA0O3mZWy1nFV,sinus,Personal,Very Important,0,Thursday,22:54,23:00,AcggWN6cpMNmEhlgSKPVUc1Ylq32
1750,Learn a new skill,Education,Important,60,Sunday,16:30,17:30,user1
1967,Product demo with client,Work,Important,30,Saturday,14:00,14:30,user1
2272,Test new software features,Work,More Important,60,Saturday,12:30,13:30,user1
1915,Visit pharmacy,Personal,More Important,30,Saturday,12:00,12:30,user1
2754,Make a scrapbook,Personal,Normal,60,Sunday,18:00,19:00,user1
2499,Join an online gaming session,Personal,Less Important,30,Thursday,20:30,21:00,user1
2638,Record a song,Personal,Normal,30,Monday,18:30,19:00,user1
2854,Write short story,Personal,Normal,30,Sunday,17:15,17:45,user1
2017,Weekly team briefing,Work,Important,30,Sunday,9:30,10:00,user1
723,Research a topic of interest,Education,Important,90,Monday,15:00,16:30,user1
2138,Join online group chat,Personal,Less Important,30,Tuesday,20:15,20:45,user1
2049,Chat with neighbors,Personal,Less Important,60,Friday,19:45,20:45,user1
1267,Yoga,Personal,Very Important,63,Thursday,10:00,11:03,user1
2930,Buy stationery,Personal,More Important,30,Monday,11:00,11:30,user1
610,Cooking,Personal,Normal,60,Wednesday,12:00,13:00,user1
891,Plan a trip,Personal,Important,90,Thursday,14:00,15:30,user1
2191,Read comics,Personal,Less Important,60,Friday,19:30,20:30,user1
2442,Evening walk,Personal,Normal,60,Thursday,19:00,20:00,user1
1229,Cooking,Personal,Normal,60,Monday,12:15,13:15,user1
105,Take a long walk,Personal,Less Important,45,Thursday,7:30,8:15,user1
2527,Write short story,Personal,Normal,30,Sunday,15:45,16:15,user1
757,Take a short walk,Personal,Less Important,10,Monday,12:00,12:10,user1
2061,Watch a movie,Personal,Less Important,60,Wednesday,18:15,19:15,user1
2821,Read a technical article,Education,Important,30,Sunday,15:45,16:15,user1
3234,Visit pharmacy,Personal,More Important,45,Monday,18:00,18:45,user1
2808,Get a haircut,Personal,More Important,60,Saturday,16:45,17:45,user1
2486,Take notes from an eBook,Education,Important,60,Saturday,14:30,15:30,user1
1380,Clean the bathroom,Personal,Normal,30,Tuesday,18:00,18:30,user1
77,Meeting,Personal,Important,67,Sunday,12:00,13:07,user1
1539,Listen to podcast,Personal,Normal,30,Thursday,20:45,21:15,user1
2641,Swimming,Personal,Normal,60,Monday,6:00,7:00,user1
1435,Repair things,Personal,Normal,60,Sunday,15:00,16:00,user1
1312,Water the garden,Personal,Less Important,30,Thursday,8:00,8:30,user1
1471,Clear notifications,Personal,Less Important,5,Friday,15:40,15:45,user1
99,Meeting,Work,Normal,95,Monday,23:00,0:35,user1
790,Take a nap,Personal,Less Important,30,Wednesday,16:30,17:00,user1
1359,Check and reply to messages,Work,Normal,15,Monday,13:00,13:15,user1
2738,Review lecture notes,Education,More Important,45,Tuesday,8:00,8:45,user1
201,Browse social media,Personal,Less Important,15,Tuesday,7:45,8:00,user1
2673,Watch a movie,Personal,Less Important,60,Monday,20:00,21:00,user1
2502,Evening walk,Personal,Normal,60,Thursday,18:45,19:45,user1
3149,Wash dishes,Personal,Normal,30,Friday,11:30,12:00,user1
1067,Take a walk after dinner,Personal,Less Important,20,Monday,21:15,21:35,user1
3276,Mail documents,Personal,More Important,60,Friday,15:45,16:45,user1
1715,Go for a walk,Personal,Normal,30,Monday,14:20,14:50,user1
510,Have lunch,Personal,Normal,60,Thursday,12:00,13:00,user1
1447,Update personal profiles,Personal,Less Important,15,Thursday,13:00,13:15,user1
466,Watch TV,Personal,Normal,60,Monday,20:00,21:00,user1
948,Jogging,Personal,Less Important,30,Saturday,7:45,8:15,user1
13,Check email,Work,Normal,15,Saturday,8:45,9:00,user1
314,Learn English,Education,Important,60,Sunday,15:00,16:00,user1
3030,Stream live concert,Personal,Less Important,30,Wednesday,19:30,20:00,user1
44,Read a book,Personal,Normal,60,Tuesday,20:15,21:15,user1
1623,Research a topic of interest,Education,Important,90,Monday,15:00,16:30,user1
312,Yoga practice,Personal,Normal,30,Friday,6:00,6:30,user1
2649,Dinner with friends,Personal,Less Important,60,Saturday,18:15,19:15,user1
1730,Tidy up the house,Personal,Normal,30,Monday,21:15,21:45,user1
2872,Coffee with a friend,Personal,Less Important,60,Sunday,14:15,15:15,user1
1456,Brush teeth,Personal,Normal,5,Saturday,6:50,6:55,user1
5tB9MhdKFrYkSLsQBgmj,visit museum,Personal,Normal,120,Thursday,10:05,12:05,AcggWN6cpMNmEhlgSKPVUc1Ylq32
3152,Organize closet,Personal,Normal,45,Monday,15:15,16:00,user1
5upsLXfMsNRJCficM6rV,take nap,Personal,Less Important,20,Friday,13:30,13:50,AcggWN6cpMNmEhlgSKPVUc1Ylq32
3211,Write a summary of today's learnings,Education,More Important,45,Tuesday,15:45,16:30,user1
1814,Make a scrapbook,Personal,Normal,30,Saturday,15:30,16:00,user1
1689,Make a list of groceries,Personal,Normal,10,Wednesday,16:00,16:10,user1
824,Sunbathe,Personal,Less Important,30,Wednesday,16:00,16:30,user1
414,Weekend getaway planning,Personal,Normal,90,Saturday,15:00,16:30,user1
2206,Practice coding,Education,Important,45,Tuesday,12:30,13:15,user1
1508,Plan for the new week,Work,Important,45,Monday,8:00,8:45,user1
2522,Prepare budget report,Work,More Important,30,Wednesday,14:00,14:30,user1
1377,Pick up kids from school,Personal,Normal,30,Wednesday,16:00,16:30,user1
3143,Grocery shopping,Personal,More Important,30,Friday,9:30,10:00,user1
1087,Listen to music,Personal,Normal,30,Wednesday,12:00,12:30,user1
1556,Coding Session,Personal,Normal,100,Sunday,20:00,21:40,user1
2310,Attend webinar,Education,Important,45,Wednesday,16:45,17:30,user1
