TaskID,TaskName,Type,Duration,Importance,DayOfWeek,StartTime,EndTime
43,Write report,Work,90,Important,Monday,10:45,12:15
44,Read a book,Personal,60,Normal,Tuesday,20:15,21:15
45,Hang out with friends,Personal,120,Normal,Wednesday,18:15,20:15
46,Teamwork,Work,120,Very Important,Thursday,14:15,16:15
47,Plan for the new week,Work,45,Important,Friday,8:15,8:00
48,Jogging,Personal,30,Less Important,Saturday,7:45,8:15
49,Cooking,Personal,60,Normal,Sunday,12:15,13:15
50,Learn programming,Education,90,Very Important,Monday,19:15,20:45
51,Meditation,Personal,20,Normal,Monday,6:00,6:20
52,Team brainstorming session,Work,90,Very Important,Tuesday,10:00,11:30
53,Gardening,Personal,45,Normal,Wednesday,7:30,8:15
54,Online workshop,Education,120,Important,Thursday,15:00,17:00
55,Family dinner,Personal,90,Important,Friday,19:00,20:30
56,Coding Session,Personal,100,Normal,Sunday,20:00,21:40
57,Email Responses,Personal,69,Very Important,Monday,14:00,15:09
58,Yoga,Work,46,Very Important,Tuesday,19:00,19:46
59,Coding Session,Personal,68,Normal,Wednesday,7:00,8:08
60,Reading,Personal,24,Less Important,Thursday,20:00,20:24
61,Grocery Shopping,Personal,15,Very Important,Friday,22:00,22:15
62,Meeting,Personal,61,Important,Saturday,6:00,7:01
63,Yoga,Personal,22,Important,Sunday,13:00,13:22
64,Coding Session,Personal,89,Very Important,Monday,7:00,8:29
65,Writing,Personal,79,Very Important,Tuesday,2:00,3:19
66,Writing,Personal,21,Very Important,Wednesday,2:00,2:21
67,Yoga,Personal,63,Very Important,Thursday,10:00,11:03
68,Email Responses,Personal,111,Normal,Friday,7:00,8:51
69,Reading,Personal,82,Less Important,Saturday,5:00,6:22
70,Grocery Shopping,Personal,35,Important,Sunday,21:00,21:35
71,Writing,Work,70,Less Important,Monday,18:00,19:10
72,Yoga,Work,16,Important,Tuesday,20:00,20:16
73,Grocery Shopping,Personal,66,Important,Wednesday,1:00,2:06
74,Email Responses,Personal,83,Normal,Thursday,23:00,0:23
75,Grocery Shopping,Work,43,Very Important,Friday,7:00,7:43
76,Reading,Personal,64,Normal,Saturday,10:00,11:04
77,Meeting,Personal,67,Important,Sunday,12:00,13:07
78,Grocery Shopping,Work,65,Very Important,Monday,18:00,19:05
79,Meeting,Work,102,Normal,Tuesday,11:00,12:42
80,Meeting,Work,95,Normal,Wednesday,16:00,17:35
81,Yoga,Personal,87,Less Important,Thursday,21:00,22:27
82,Meeting,Work,86,Less Important,Friday,4:00,5:26
83,Yoga,Personal,112,Important,Saturday,21:00,22:52
84,Email Responses,Personal,23,Less Important,Sunday,16:00,16:23
85,Reading,Personal,104,Very Important,Monday,15:00,16:44
86,Coding Session,Work,116,Very Important,Tuesday,9:00,10:56
87,Writing,Work,18,Important,Wednesday,9:00,9:18
88,Reading,Personal,81,Normal,Thursday,13:00,14:21
89,Coding Session,Work,15,Important,Friday,18:00,18:15
90,Coding Session,Personal,16,Normal,Saturday,16:00,16:16
91,Grocery Shopping,Personal,101,Important,Sunday,6:00,7:41
92,Grocery Shopping,Work,41,Very Important,Monday,14:00,14:41
93,Coding Session,Personal,108,Very Important,Tuesday,7:00,8:48
94,Reading,Work,103,Important,Wednesday,0:00,1:43
95,Meeting,Work,82,Very Important,Thursday,20:00,21:22
96,Meeting,Personal,51,Less Important,Friday,21:00,21:51
97,Grocery Shopping,Personal,101,Important,Saturday,9:00,10:41
98,Grocery Shopping,Personal,50,Important,Sunday,1:00,1:50
99,Meeting,Work,95,Normal,Monday,23:00,0:35
100,Take an online quiz,Education,30,Normal,Monday,17:30,18:00
101,Volunteer at a shelter,Personal,120,Important,Sunday,10:00,12:00
102,Attend a seminar on technology trends,Education,120,Very Important,Monday,14:00,16:00
103,Prepare slides for a presentation,Work,90,Important,Tuesday,9:00,10:30
104,Virtual networking event,Work,90,Normal,Wednesday,19:00,20:30
105,Take a long walk,Personal,45,Less Important,Thursday,7:30,8:15
106,Create a new recipe,Personal,90,Normal,Friday,18:00,19:30
107,Attend a book club meeting,Personal,90,Important,Saturday,17:00,18:30
108,Host a movie night,Personal,150,Normal,Sunday,20:00,22:30
109,Clean out old files,Work,60,Normal,Monday,16:30,17:30
110,Research new skills to learn,Education,90,Important,Tuesday,14:00,15:30
111,Morning journaling,Personal,30,Normal,Wednesday,6:30,7:00
112,Water the garden,Personal,30,Less Important,Thursday,8:00,8:30
113,Team status update,Work,60,Very Important,Friday,11:00,12:00
114,Weekend getaway planning,Personal,90,Normal,Saturday,15:00,16:30
115,Watch a TED Talk,Education,30,Normal,Sunday,19:00,19:30
116,Learn new software,Education,120,Important,Monday,9:00,11:00
117,Donate old clothes,Personal,60,Normal,Tuesday,16:00,17:00
118,Organize a photo album,Personal,60,Normal,Wednesday,20:00,21:00
119,Online fitness class,Personal,45,Less Important,Thursday,18:30,19:15
120,Meal prep for the week,Personal,90,Normal,Friday,17:30,19:00
121,Call a relative,Personal,30,Normal,Saturday,10:30,11:00
122,Sketch a design,Personal,90,Normal,Sunday,14:00,15:30
123,Research a topic of interest,Education,90,Important,Monday,15:00,16:30
124,Organize workspace,Work,60,Important,Tuesday,13:00,14:00
125,Meditation session,Personal,20,Less Important,Wednesday,6:00,6:20
126,Plan a team outing,Work,60,Important,Thursday,17:00,18:00
127,Attend a yoga retreat,Personal,120,Important,Friday,8:00,10:00
128,Write a short story,Personal,90,Normal,Saturday,19:00,20:30
129,Practice a musical instrument,Personal,60,Normal,Sunday,17:30,18:30
130,Learn a new language,Education,60,Important,Monday,20:00,21:00
131,Morning stretch,Personal,15,Less Important,Tuesday,6:30,6:45
132,Review monthly budget,Personal,45,Important,Wednesday,19:30,20:15
133,Visit a museum,Personal,120,Normal,Thursday,10:00,12:00
134,Host a podcast episode,Personal,60,Normal,Friday,20:00,21:00
135,Back up important data,Work,30,Important,Saturday,9:00,9:30
136,Update LinkedIn profile,Work,45,Important,Sunday,12:00,12:45
137,Paint a canvas,Personal,90,Normal,Monday,17:00,18:30
138,Research healthy recipes,Personal,60,Normal,Tuesday,11:00,12:00
139,Weekly team sync-up,Work,60,Very Important,Wednesday,15:00,16:00
140,Attend a coding hackathon,Education,240,Very Important,Thursday,14:00,18:00
141,Play board games with family,Personal,90,Normal,Friday,19:30,21:00
142,Walk a pet,Personal,30,Normal,Saturday,8:00,8:30
143,Visit the library,Education,60,Normal,Sunday,14:30,15:30
144,Complete a crossword puzzle,Personal,30,Normal,Monday,21:00,21:30
145,Join a webinar on AI,Education,120,Very Important,Tuesday,10:00,12:00
146,Plan a creative project,Personal,60,Normal,Wednesday,18:00,19:00
147,Organize email inbox,Work,30,Normal,Thursday,9:00,9:30
148,Relax with an audiobook,Personal,60,Normal,Friday,21:00,22:00
149,Brush teeth,Personal,5,Normal,Monday,7:00,7:05
150,Take a shower,Personal,20,Normal,Monday,7:05,7:25
151,Make breakfast,Personal,30,Normal,Monday,7:30,8:00
152,Check social media,Personal,15,Normal,Monday,8:15,8:30
153,Go to work,Work,60,Very Important,Monday,8:30,9:30
154,Drive to work,Work,30,Normal,Saturday,9:30,10:00
155,Morning coffee break,Personal,15,Normal,Saturday,10:00,10:15
156,Organize desk,Work,10,Normal,Monday,10:15,10:25
157,Take a short walk,Personal,10,Less Important,Monday,12:00,12:10
158,Have lunch,Personal,45,Normal,Monday,12:15,13:00
159,Check and reply to messages,Work,15,Normal,Monday,13:00,13:15
160,Call a friend,Personal,20,Normal,Monday,13:30,13:50
161,Check work emails,Work,20,Normal,Monday,14:00,14:20
162,Do the laundry,Personal,30,Normal,Monday,14:30,15:00
163,Cook dinner,Personal,45,Normal,Monday,18:00,18:45
164,Eat dinner,Personal,30,Normal,Monday,18:45,19:15
165,Wash dishes,Personal,15,Normal,Monday,19:30,19:45
166,Watch TV,Personal,60,Normal,Monday,20:00,21:00
167,Take a walk after dinner,Personal,20,Less Important,Monday,21:15,21:35
168,Meditate,Personal,10,Less Important,Monday,21:40,21:50
169,Read the news,Personal,20,Normal,Tuesday,7:00,7:20
170,Make a to-do list for the day,Personal,10,Normal,Saturday,7:20,7:30
171,Water the plants,Personal,10,Normal,Saturday,7:30,7:40
172,Drop kids off at school,Personal,30,Normal,Tuesday,8:00,8:30
173,Drive to work,Work,30,Normal,Tuesday,8:30,9:00
174,Grocery shopping,Personal,60,Normal,Sunday,10:00,11:00
175,Respond to customer queries,Work,30,Normal,Monday,11:00,11:30
176,Take a quick break,Personal,10,Normal,Tuesday,15:00,15:10
177,Pick up kids from school,Personal,30,Normal,Wednesday,16:00,16:30
178,Check bank statements,Personal,15,Normal,Tuesday,16:30,16:45
179,Clean the kitchen,Personal,30,Normal,Tuesday,17:00,17:30
180,Clean the bathroom,Personal,30,Normal,Tuesday,18:00,18:30
181,Call family members,Personal,15,Normal,Tuesday,19:00,19:15
182,Check work updates,Work,20,Normal,Tuesday,20:00,20:20
183,Plan a weekend trip,Personal,30,Normal,Tuesday,20:30,21:00
184,Have a cup of tea,Personal,15,Normal,Wednesday,7:00,7:15
185,Read a book,Personal,30,Normal,Wednesday,7:15,7:45
186,Clean the living room,Personal,30,Normal,Wednesday,10:00,10:30
187,Listen to music,Personal,30,Normal,Wednesday,12:00,12:30
188,Call a colleague for a quick check-in,Work,10,Normal,Wednesday,14:00,14:10
189,Make a list of groceries,Personal,10,Normal,Wednesday,16:00,16:10
190,Take a nap,Personal,30,Less Important,Wednesday,16:30,17:00
191,Organize the wardrobe,Personal,30,Normal,Wednesday,17:30,18:00
192,Try a new recipe,Personal,45,Normal,Wednesday,18:30,19:15
193,Reply to personal messages,Personal,15,Normal,Wednesday,19:30,19:45
194,Take a hot bath,Personal,30,Normal,Wednesday,20:00,20:30
195,Do some light stretching,Personal,10,Normal,Thursday,6:30,6:40
196,Take a morning walk,Personal,20,Normal,Thursday,7:00,7:20
197,Pack lunch,Personal,15,Normal,Thursday,7:30,7:45
198,Make phone calls for work,Work,30,Normal,Thursday,9:00,9:30
199,Have breakfast,Personal,30,Normal,Tuesday,7:00,7:30
200,Drink coffee,Personal,15,Normal,Tuesday,7:30,7:45
201,Browse social media,Personal,15,Less Important,Tuesday,7:45,8:00
202,Check emails,Work,15,Normal,Wednesday,8:00,8:15
203,Read the news,Personal,20,Normal,Wednesday,8:15,8:35
204,Exercise,Personal,45,Important,Wednesday,8:35,9:20
205,Go to work,Work,60,Very Important,Wednesday,9:30,10:30
206,Meet friends,Personal,90,Normal,Wednesday,17:00,18:30
207,Go shopping,Personal,60,Normal,Thursday,16:00,17:00
208,Do housework,Personal,45,Normal,Thursday,18:00,18:45
209,Cook,Personal,60,Normal,Thursday,18:45,19:45
210,Have lunch,Personal,60,Normal,Thursday,12:00,13:00
211,Rest,Personal,30,Less Important,Tuesday,13:00,13:30
212,Take a shower,Personal,20,Normal,Wednesday,13:30,13:50
213,Watch a movie,Personal,120,Normal,Thursday,20:00,22:00
214,Listen to music,Personal,30,Less Important,Friday,13:50,14:20
215,Go for a walk,Personal,30,Normal,Monday,14:20,14:50
216,Play games,Personal,60,Less Important,Monday,19:50,20:50
217,Read a book,Personal,60,Normal,Monday,22:00,23:00
218,Write a journal,Personal,20,Normal,Monday,23:00,23:20
219,Send a message,Personal,10,Less Important,Monday,23:20,23:30
220,Make a phone call,Personal,20,Normal,Saturday,15:00,15:20
221,Organize work,Work,60,Important,Sunday,10:30,11:30
222,Clean the room,Personal,30,Normal,Monday,11:30,12:00
223,Plan for tomorrow,Work,20,Important,Tuesday,22:00,22:20
224,Sunbathe,Personal,30,Less Important,Wednesday,16:00,16:30
225,Play sports,Personal,60,Normal,Thursday,17:30,18:30
226,Garden,Personal,60,Normal,Friday,16:30,17:30
227,Take care of plants,Personal,30,Normal,Saturday,14:00,14:30
228,Cook dinner,Personal,60,Normal,Sunday,19:45,20:45
229,Clean the kitchen,Personal,30,Normal,Monday,20:45,21:15
230,Tidy up the house,Personal,30,Normal,Monday,21:15,21:45
231,Go to bed early,Personal,60,Very Important,Sunday,23:30,24:30:00
232,Study online,Education,60,Very Important,Sunday,14:30,15:30
233,Post on a blog,Personal,30,Less Important,Sunday,14:30,15:00
234,Do crafts,Personal,60,Less Important,Sunday,16:30,17:30
235,Repair things,Personal,60,Normal,Sunday,15:00,16:00
236,Take photos,Personal,30,Less Important,Sunday,17:00,17:30
237,Compose music,Personal,60,Normal,Sunday,15:30,16:30
238,Visit family,Personal,120,Normal,Sunday,14:00,16:00
239,Play with pets,Personal,30,Normal,Saturday,14:50,15:20
240,Work in a team,Work,120,Very Important,Saturday,10:30,12:30
241,Play outdoor sports,Personal,90,Normal,Sunday,16:00,17:30
242,Attend a party,Social,180,Less Important,Saturday,18:30,21:30
243,Practice yoga,Personal,30,Normal,Saturday,6:00,6:30
244,Go jogging,Personal,30,Normal,Wednesday,6:30,7:00
245,Do homework,Education,60,Important,Wednesday,18:00,19:00
246,Attend a seminar,Education,120,Very Important,Thursday,9:00,11:00
247,Update personal profiles,Personal,15,Less Important,Thursday,13:00,13:15
248,Handle paperwork,Work,30,Normal,Friday,13:15,13:45
249,Shop online,Personal,60,Normal,Saturday,12:00,13:00
250,Learn a new skill,Education,60,Important,Sunday,16:30,17:30
251,Watch a livestream,Personal,60,Less Important,Monday,19:00,20:00
252,Wake up,Personal,15,Very Important,Monday,6:00,6:15
253,Stretch,Personal,10,Normal,Sunday,6:15,6:25
254,Make bed,Personal,10,Normal,Sunday,6:25,6:35
255,Water plants,Personal,15,Normal,Saturday,6:35,6:50
256,Brush teeth,Personal,5,Normal,Saturday,6:50,6:55
257,Pack bag,Personal,10,Normal,Friday,7:00,7:10
258,Take vitamins,Personal,5,Normal,Saturday,7:10,7:15
259,Make lunch,Personal,30,Normal,Sunday,12:00,12:30
260,Check weather,Personal,5,Less Important,Monday,6:00,6:05
261,Organize desk,Work,15,Normal,Tuesday,8:30,8:45
262,Take a break,Personal,10,Less Important,Wednesday,9:45,9:55
263,Walk to the bus stop,Personal,10,Normal,Thursday,7:30,7:40
264,Reply to messages,Personal,15,Normal,Friday,15:00,15:15
265,Buy groceries,Personal,60,Normal,Saturday,10:00,11:00
266,Do laundry,Personal,60,Normal,Sunday,15:00,16:00
267,Take a nap,Personal,20,Less Important,Monday,13:00,13:20
268,Drink water,Personal,5,Normal,Tuesday,10:00,10:05
269,Talk to family,Personal,20,Normal,Wednesday,17:30,17:50
270,Check social media,Personal,10,Less Important,Thursday,15:30,15:40
271,Clear notifications,Personal,5,Less Important,Friday,15:40,15:45
272,Walk the dog,Personal,30,Normal,Saturday,16:00,16:30
273,Make smoothie,Personal,10,Less Important,Thursday,8:00,8:10
274,Check calendar,Work,10,Normal,Friday,8:15,8:25
275,Meditate,Personal,15,Normal,Saturday,6:40,6:55
276,Write to-do list,Work,10,Normal,Sunday,8:45,8:55
277,Pick up mail,Personal,10,Less Important,Monday,17:00,17:10
278,Read a blog,Personal,15,Less Important,Tuesday,10:15,10:30
279,Call a friend,Personal,20,Normal,Wednesday,18:00,18:20
280,Go for a bike ride,Personal,30,Less Important,Thursday,17:00,17:30
281,Watch TV series,Personal,60,Normal,Friday,21:00,22:00
282,Do a puzzle,Personal,30,Less Important,Saturday,16:30,17:00
283,Write a letter,Personal,30,Less Important,Sunday,18:30,19:00
284,Wash dishes,Personal,20,Normal,Monday,19:45,20:05
285,Set alarms,Personal,5,Normal,Tuesday,22:30,22:35
286,Organize photos,Personal,30,Less Important,Wednesday,14:00,14:30
287,Take a power nap,Personal,20,Less Important,Thursday,14:00,14:20
288,Send postcards,Personal,20,Less Important,Monday,12:30,12:50
289,Meet new people,Social,60,Normal,Tuesday,15:00,16:00
290,Attend a webinar,Education,60,Important,Wednesday,19:00,20:00
291,Plan a trip,Personal,90,Important,Thursday,14:00,15:30
292,Organize documents,Work,30,Normal,Friday,11:00,11:30
293,Read a magazine,Personal,20,Less Important,Saturday,15:00,15:20
294,Have a meeting,Work,60,Very Important,Thursday,9:00,10:00
295,Pay bills,Personal,30,Important,Friday,18:00,18:30
296,Go to a fitness class,Personal,60,Normal,Saturday,19:00,20:00
297,Write a poem,Personal,30,Less Important,Sunday,18:30,19:00
298,Take a coffee break,Personal,10,Normal,Monday,10:30,10:40
299,Take a deep breath,Personal,5,Normal,Tuesday,8:40,8:45
300,Research a topic,Education,30,Important,Monday,15:30,16:00
301,Meeting with client,Work,60,Very Important,Monday,9:00,10:00
302,Go to the supermarket,Personal,30,Normal,Tuesday,16:00,16:30
303,Exercise,Personal,45,Less Important,Wednesday,6:30,7:15
304,Write report,Work,90,Important,Thursday,10:30,12:00
305,Read a book,Personal,60,Normal,Friday,20:00,21:00
306,Hang out with friends,Personal,120,Normal,Saturday,18:00,20:00
307,Teamwork,Work,120,Very Important,Sunday,14:00,16:00
308,Plan for the new week,Work,45,Important,Monday,8:00,8:45
309,Jogging,Personal,30,Less Important,Tuesday,7:30,8:00
310,Cooking,Personal,60,Normal,Wednesday,12:00,13:00
311,Learn programming,Education,90,Very Important,Thursday,19:00,20:30
312,Yoga practice,Personal,30,Normal,Friday,6:00,6:30
313,Check email,Work,15,Normal,Saturday,8:45,9:00
314,Learn English,Education,60,Important,Sunday,15:00,16:00
315,Watch a movie,Personal,120,Less Important,Monday,21:00,23:00
316,Work group meeting,Work,60,Very Important,Tuesday,11:00,12:00
317,Write a diary,Personal,30,Normal,Wednesday,22:30,23:00
318,Prepare lecture,Work,90,Important,Thursday,13:30,15:00
319,Clean the house,Personal,60,Normal,Friday,9:00,10:00
320,Listen to podcast,Personal,30,Normal,Saturday,20:30,21:00
321,Go to the supermarket,Personal,30,Normal,Sunday,16:15,16:45
322,Exercise,Personal,45,Less Important,Monday,6:45,7:30
323,Write report,Work,90,Important,Tuesday,10:45,12:15
324,Read a book,Personal,60,Normal,Wednesday,20:15,21:15
325,Hang out with friends,Personal,120,Normal,Thursday,18:15,20:15
326,Teamwork,Work,120,Very Important,Friday,14:15,16:15
327,Plan for the new week,Work,45,Important,Saturday,8:00,8:15
328,Jogging,Personal,30,Less Important,Sunday,7:45,8:15
329,Cooking,Personal,60,Normal,Monday,12:15,13:15
330,Learn programming,Education,90,Very Important,Tuesday,19:15,20:45
331,Yoga practice,Personal,30,Normal,Wednesday,6:15,6:45
332,Check email,Work,15,Normal,Thursday,8:00,9:15
333,Learn English,Education,60,Important,Friday,15:15,16:15
334,Watch a movie,Personal,120,Less Important,Saturday,21:15,23:15
335,Work group meeting,Work,60,Very Important,Sunday,11:15,12:15
336,Write a diary,Personal,30,Normal,Monday,22:45,23:15
337,Prepare lecture,Work,90,Important,Tuesday,13:45,15:15
338,Clean the house,Personal,60,Normal,Wednesday,9:15,10:15
339,Listen to podcast,Personal,30,Normal,Thursday,20:45,21:15
340,Meeting with client,Work,60,Very Important,Friday,9:15,10:15
341,Go to the supermarket,Personal,30,Normal,Saturday,16:15,16:45
342,Exercise,Personal,45,Less Important,Sunday,6:45,7:30
343,Write report,Work,90,Important,Monday,10:45,12:15
344,Read a book,Personal,60,Normal,Tuesday,20:15,21:15
345,Hang out with friends,Personal,120,Normal,Wednesday,18:15,20:15
346,Teamwork,Work,120,Very Important,Thursday,14:15,16:15
347,Plan for the new week,Work,45,Important,Friday,8:15,8:00
348,Jogging,Personal,30,Less Important,Saturday,7:45,8:15
349,Cooking,Personal,60,Normal,Sunday,12:15,13:15
350,Learn programming,Education,90,Very Important,Monday,19:15,20:45
351,Meditation,Personal,20,Normal,Monday,6:00,6:20
352,Team brainstorming session,Work,90,Very Important,Tuesday,10:00,11:30
353,Gardening,Personal,45,Normal,Wednesday,7:30,8:15
354,Online workshop,Education,120,Important,Thursday,15:00,17:00
355,Family dinner,Personal,90,Important,Friday,19:00,20:30
356,Coding Session,Personal,100,Normal,Sunday,20:00,21:40
357,Email Responses,Personal,69,Very Important,Monday,14:00,15:09
358,Yoga,Work,46,Very Important,Tuesday,19:00,19:46
359,Coding Session,Personal,68,Normal,Wednesday,7:00,8:08
360,Reading,Personal,24,Less Important,Thursday,20:00,20:24
361,Grocery Shopping,Personal,15,Very Important,Friday,22:00,22:15
362,Meeting,Personal,61,Important,Saturday,6:00,7:01
363,Yoga,Personal,22,Important,Sunday,13:00,13:22
364,Coding Session,Personal,89,Very Important,Monday,7:00,8:29
365,Writing,Personal,79,Very Important,Tuesday,2:00,3:19
366,Writing,Personal,21,Very Important,Wednesday,2:00,2:21
367,Yoga,Personal,63,Very Important,Thursday,10:00,11:03
368,Email Responses,Personal,111,Normal,Friday,7:00,8:51
369,Reading,Personal,82,Less Important,Saturday,5:00,6:22
370,Grocery Shopping,Personal,35,Important,Sunday,21:00,21:35
371,Writing,Work,70,Less Important,Monday,18:00,19:10
372,Yoga,Work,16,Important,Tuesday,20:00,20:16
373,Grocery Shopping,Personal,66,Important,Wednesday,1:00,2:06
374,Email Responses,Personal,83,Normal,Thursday,23:00,0:23
375,Grocery Shopping,Work,43,Very Important,Friday,7:00,7:43
376,Reading,Personal,64,Normal,Saturday,10:00,11:04
377,Meeting,Personal,67,Important,Sunday,12:00,13:07
378,Grocery Shopping,Work,65,Very Important,Monday,18:00,19:05
379,Meeting,Work,102,Normal,Tuesday,11:00,12:42
380,Meeting,Work,95,Normal,Wednesday,16:00,17:35
381,Yoga,Personal,87,Less Important,Thursday,21:00,22:27
382,Meeting,Work,86,Less Important,Friday,4:00,5:26
383,Yoga,Personal,112,Important,Saturday,21:00,22:52
384,Email Responses,Personal,23,Less Important,Sunday,16:00,16:23
385,Reading,Personal,104,Very Important,Monday,15:00,16:44
386,Coding Session,Work,116,Very Important,Tuesday,9:00,10:56
387,Writing,Work,18,Important,Wednesday,9:00,9:18
388,Reading,Personal,81,Normal,Thursday,13:00,14:21
389,Coding Session,Work,15,Important,Friday,18:00,18:15
390,Coding Session,Personal,16,Normal,Saturday,16:00,16:16
391,Grocery Shopping,Personal,101,Important,Sunday,6:00,7:41
392,Grocery Shopping,Work,41,Very Important,Monday,14:00,14:41
393,Coding Session,Personal,108,Very Important,Tuesday,7:00,8:48
394,Reading,Work,103,Important,Wednesday,0:00,1:43
395,Meeting,Work,82,Very Important,Thursday,20:00,21:22
396,Meeting,Personal,51,Less Important,Friday,21:00,21:51
397,Grocery Shopping,Personal,101,Important,Saturday,9:00,10:41
398,Grocery Shopping,Personal,50,Important,Sunday,1:00,1:50
399,Meeting,Work,95,Normal,Monday,23:00,0:35
400,Take an online quiz,Education,30,Normal,Monday,17:30,18:00
401,Volunteer at a shelter,Personal,120,Important,Sunday,10:00,12:00
402,Attend a seminar on technology trends,Education,120,Very Important,Monday,14:00,16:00
403,Prepare slides for a presentation,Work,90,Important,Tuesday,9:00,10:30
404,Virtual networking event,Work,90,Normal,Wednesday,19:00,20:30
405,Take a long walk,Personal,45,Less Important,Thursday,7:30,8:15
406,Create a new recipe,Personal,90,Normal,Friday,18:00,19:30
407,Attend a book club meeting,Personal,90,Important,Saturday,17:00,18:30
408,Host a movie night,Personal,150,Normal,Sunday,20:00,22:30
409,Clean out old files,Work,60,Normal,Monday,16:30,17:30
410,Research new skills to learn,Education,90,Important,Tuesday,14:00,15:30
411,Morning journaling,Personal,30,Normal,Wednesday,6:30,7:00
412,Water the garden,Personal,30,Less Important,Thursday,8:00,8:30
413,Team status update,Work,60,Very Important,Friday,11:00,12:00
414,Weekend getaway planning,Personal,90,Normal,Saturday,15:00,16:30
415,Watch a TED Talk,Education,30,Normal,Sunday,19:00,19:30
416,Learn new software,Education,120,Important,Monday,9:00,11:00
417,Donate old clothes,Personal,60,Normal,Tuesday,16:00,17:00
418,Organize a photo album,Personal,60,Normal,Wednesday,20:00,21:00
419,Online fitness class,Personal,45,Less Important,Thursday,18:30,19:15
420,Meal prep for the week,Personal,90,Normal,Friday,17:30,19:00
421,Call a relative,Personal,30,Normal,Saturday,10:30,11:00
422,Sketch a design,Personal,90,Normal,Sunday,14:00,15:30
423,Research a topic of interest,Education,90,Important,Monday,15:00,16:30
424,Organize workspace,Work,60,Important,Tuesday,13:00,14:00
425,Meditation session,Personal,20,Less Important,Wednesday,6:00,6:20
426,Plan a team outing,Work,60,Important,Thursday,17:00,18:00
427,Attend a yoga retreat,Personal,120,Important,Friday,8:00,10:00
428,Write a short story,Personal,90,Normal,Saturday,19:00,20:30
429,Practice a musical instrument,Personal,60,Normal,Sunday,17:30,18:30
430,Learn a new language,Education,60,Important,Monday,20:00,21:00
431,Morning stretch,Personal,15,Less Important,Tuesday,6:30,6:45
432,Review monthly budget,Personal,45,Important,Wednesday,19:30,20:15
433,Visit a museum,Personal,120,Normal,Thursday,10:00,12:00
434,Host a podcast episode,Personal,60,Normal,Friday,20:00,21:00
435,Back up important data,Work,30,Important,Saturday,9:00,9:30
436,Update LinkedIn profile,Work,45,Important,Sunday,12:00,12:45
437,Paint a canvas,Personal,90,Normal,Monday,17:00,18:30
438,Research healthy recipes,Personal,60,Normal,Tuesday,11:00,12:00
439,Weekly team sync-up,Work,60,Very Important,Wednesday,15:00,16:00
440,Attend a coding hackathon,Education,240,Very Important,Thursday,14:00,18:00
441,Play board games with family,Personal,90,Normal,Friday,19:30,21:00
